RTP Audio Master [INFO] :: 2024-01-04 17:26:11,718 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:26:18,376 -> [UDP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:27:30,679 -> [UDP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:27:32,765 -> [UDP] Received login request from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:27:32,771 -> [UDP] Accept login
RTP Audio Master [INFO] :: 2024-01-04 17:27:32,786 -> [UDP] Add 192.168.178.172 to list of Hosts
RTP Audio Master [INFO] :: 2024-01-04 17:27:40,680 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:27:40,683 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:27:40,687 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:27:40,687 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:27:50,680 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:27:50,685 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:27:50,689 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:27:50,689 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:27:54,925 -> [UDP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:28:54,442 -> [UDP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:28:59,733 -> [UDP] Received login request from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:28:59,744 -> [UDP] Accept login
RTP Audio Master [INFO] :: 2024-01-04 17:28:59,764 -> [UDP] Add 192.168.178.172 to list of Hosts
RTP Audio Master [INFO] :: 2024-01-04 17:29:04,442 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:29:04,446 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:29:04,449 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:29:04,449 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:29:14,442 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:29:14,447 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:29:14,450 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:29:14,450 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:29:24,442 -> [TCP] Open socket
